Time(ms),MCB1,MCB2,DATA1,DATA2
451.0,-9.294117647058822,-8.972549019607843,-9.9372549019608,-10.0444444444445
461.0,-9.615686274509805,-9.615686274509805,-10.3660130718954,-10.5803921568627
468.0,-10.258823529411764,-9.937254901960785,-11.0091503267974,-11.0091503267974
478.0,-10.901960784313726,-13.152941176470588,-11.5450980392157,-11.5450980392157
488.0,-11.545098039215688,-11.223529411764705,-12.081045751634,-12.1882352941176
497.0,-11.866666666666667,-11.545098039215688,-12.4026143790849,-12.6169934640523
507.0,-12.50980392156863,-12.188235294117646,-13.0457516339869,-13.1529411764706
517.0,-12.831372549019608,-12.831372549019608,-13.5816993464053,-13.7960784313726
527.0,-13.474509803921567,-15.40392156862745,-14.1176470588235,-14.2248366013072
536.0,-13.79607843137255,-13.79607843137255,-14.7607843137255,-14.9751633986928
548.0,-14.760784313725491,-14.439215686274508,-15.4039215686275,-15.4039215686275
558.0,-15.08235294117647,-15.08235294117647,-15.8326797385621,-16.0470588235294
567.0,-15.40392156862745,-15.40392156862745,-16.3686274509804,-16.3686274509804
577.0,-16.04705882352941,-16.04705882352941,-16.9045751633987,-17.118954248366
587.0,-16.36862745098039,-16.690196078431374,-17.3333333333333,-17.5477124183006
597.0,-17.333333333333332,-17.333333333333332,-18.083660130719,-18.1908496732026
606.0,-17.976470588235294,-17.654901960784315,-18.5124183006536,-18.6196078431373
616.0,-17.976470588235294,-18.298039215686273,-19.0483660130719,-19.0483660130719
626.0,-18.941176470588236,-18.941176470588236,-19.6915032679739,-19.6915032679739
636.0,-19.262745098039215,-19.584313725490198,-20.2274509803922,-20.3346405228758
647.0,-19.905882352941177,-19.905882352941177,-20.6562091503268,-20.8705882352941
656.0,-20.227450980392156,-20.870588235294118,-21.0849673202614,-21.4065359477124
666.0,-21.192156862745097,-21.192156862745097,-21.8352941176471,-22.0496732026144
677.0,-21.51372549019608,-21.83529411764706,-22.3712418300653,-22.478431372549
685.0,-22.15686274509804,-22.478431372549018,-22.6928104575163,-23.121568627451
695.0,-22.799999999999997,-22.799999999999997,-23.3359477124183,-23.5503267973856
704.0,-23.443137254901963,-23.443137254901963,-23.9790849673202,-24.0862745098039
714.0,-23.764705882352942,-26.015686274509804,-24.4078431372549,-24.6222222222222
724.0,-24.08627450980392,-24.4078431372549,-24.9437908496732,-25.1581699346405
735.0,-24.72941176470588,-25.050980392156866,-25.5869281045752,-25.8013071895425
743.0,-25.372549019607845,-25.694117647058825,-26.0156862745098,-26.4444444444445
