Time(ms),MCB1,MCB2,DATA1,DATA2
1019.0,0.35294117647058876,-58.17254901960784,-1.04052287581699,-58.3869281045751
1029.0,-0.9333333333333336,-58.17254901960784,-1.36209150326797,-57.9581699346405
1038.0,-0.9333333333333336,-58.17254901960784,-2.21960784313726,-57.1006535947712
1047.0,-0.9333333333333336,-57.2078431372549,-3.07712418300654,-55.921568627451
1057.0,-1.2549019607843146,-55.92156862745098,-4.04183006535948,-54.956862745098
1067.0,-2.541176470588235,-54.956862745098036,-4.7921568627451,-54.2065359477124
1076.0,-3.8274509803921575,-53.9921568627451,-5.64967320261438,-53.5633986928104
1086.0,-5.435294117647059,-53.34901960784314,-6.07843137254902,-52.9202614379085
1096.0,-6.078431372549019,-52.705882352941174,-6.72156862745098,-52.1699346405229
1106.0,-6.721568627450981,-52.062745098039215,-7.4718954248366,-51.8483660130719
1117.0,-7.36470588235294,-51.41960784313726,-7.90065359477124,-51.0980392156863
1125.0,-7.686274509803923,-50.77647058823529,-8.5437908496732,-50.6692810457516
1135.0,-8.650980392156864,-50.45490196078431,-9.18692810457516,-50.1333333333333
1145.0,-8.972549019607843,-49.811764705882354,-9.61568627450981,-49.5973856209151
1154.0,-9.615686274509805,-49.490196078431374,-10.1516339869281,-48.8470588235294
1164.0,-10.258823529411764,-48.84705882352941,-10.5803921568627,-48.4183006535948
1174.0,-10.901960784313726,-48.20392156862745,-11.3307189542484,-47.7751633986928
1184.0,-11.545098039215688,-47.56078431372549,-11.9738562091503,-47.2392156862745
1193.0,-11.866666666666667,-46.917647058823526,-12.2954248366013,-46.7032679738562
1204.0,-12.50980392156863,-46.59607843137255,-13.0457516339869,-46.0601307189543
1213.0,-12.831372549019608,-45.95294117647059,-13.5816993464053,-45.4169934640523
1223.0,-13.79607843137255,-45.30980392156863,-14.3320261437908,-44.7738562091503
1233.0,-14.117647058823529,-44.666666666666664,-14.8679738562092,-44.4522875816994
1242.0,-14.760784313725491,-44.023529411764706,-15.5111111111111,-43.4875816993464
1252.0,-15.40392156862745,-43.70196078431373,-16.1542483660131,-43.1660130718954
1262.0,-15.40392156862745,-43.05882352941177,-16.5830065359477,-42.5228758169935
1271.0,-16.36862745098039,-42.4156862745098,-17.2261437908497,-41.9869281045752
1281.0,-17.011764705882353,-41.772549019607844,-17.8692810457516,-41.2366013071896
1291.0,-17.976470588235294,-41.129411764705885,-18.5124183006536,-40.7006535947712
1300.0,-18.298039215686273,-40.8078431372549,-19.0483660130719,-40.1647058823529
1310.0,-18.941176470588236,-40.16470588235294,-19.5843137254902,-39.6287581699347
1320.0,-19.262745098039215,-39.52156862745098,-20.2274509803922,-38.9856209150327
1330.0,-19.905882352941177,-38.87843137254902,-20.8705882352941,-38.556862745098
1340.0,-20.54901960784314,-38.23529411764706,-21.2993464052288,-37.6993464052288
1349.0,-21.192156862745097,-37.5921568627451,-21.9424836601307,-37.2705882352941
1359.0,-21.83529411764706,-36.949019607843134,-22.3712418300653,-36.7346405228758
1368.0,-22.478431372549018,-36.627450980392155,-23.0143790849673,-36.0915032679739
1379.0,-23.121568627450984,-35.984313725490196,-23.5503267973856,-35.4483660130719
1388.0,-23.443137254901963,-35.34117647058824,-24.1934640522876,-35.0196078431373
1399.0,-23.764705882352942,-34.69803921568627,-24.8366013071896,-34.3764705882353
1409.0,-24.4078431372549,-34.05490196078431,-25.4797385620915,-33.840522875817
1418.0,-25.050980392156866,-33.733333333333334,-25.9084967320261,-33.0901960784314
1428.0,-25.694117647058825,-33.411764705882355,-26.5516339869281,-32.5542483660131
1438.0,-26.337254901960783,-32.44705882352941,-27.0875816993464,-31.9111111111111
1447.0,-26.98039215686274,-32.12549019607843,-27.6235294117647,-31.4823529411765
1457.0,-27.623529411764707,-31.482352941176472,-28.159477124183,-30.7320261437908
1467.0,-28.266666666666666,-30.839215686274507,-28.8026143790849,-30.1960784313725
1477.0,-28.909803921568624,-30.19607843137255,-29.6601307189543,-29.7673202614379
1487.0,-29.23137254901961,-29.87450980392157,-29.9816993464052,-29.1241830065359
1496.0,-29.87450980392157,-29.23137254901961,-30.6248366013072,-28.6954248366013
1506.0,-30.517647058823528,-28.588235294117645,-31.2679738562092,-27.837908496732
1516.0,-31.160784313725493,-27.945098039215686,-31.8039215686275,-27.4091503267974
1526.0,-31.482352941176472,-27.301960784313728,-32.2326797385621,-26.7660130718954
1535.0,-32.12549019607843,-26.658823529411762,-32.9830065359477,-26.1228758169935
1545.0,-32.76862745098039,-26.015686274509804,-33.4117647058824,-25.4797385620915
1555.0,-33.733333333333334,-25.694117647058825,-34.0549019607843,-25.1581699346405
1564.0,-34.05490196078431,-25.050980392156866,-34.6980392156863,-24.5150326797386
1575.0,-34.69803921568627,-24.72941176470588,-35.2339869281046,-23.8718954248366
1584.0,-35.34117647058824,-24.08627450980392,-35.7699346405229,-23.2287581699347
1594.0,-35.66274509803922,-23.121568627450984,-36.3058823529412,-22.5856209150327
1604.0,-36.305882352941175,-22.799999999999997,-37.0562091503268,-22.0496732026144
1614.0,-36.627450980392155,-22.15686274509804,-37.4849673202614,-21.6209150326798
1624.0,-37.5921568627451,-21.51372549019608,-38.1281045751634,-20.9777777777778
1634.0,-37.5921568627451,-20.870588235294118,-38.7712418300653,-20.5490196078431
1644.0,-38.55686274509804,-20.227450980392156,-39.521568627451,-19.9058823529412
1653.0,-39.2,-19.584313725490198,-40.0575163398693,-19.2627450980392
1662.0,-39.84313725490196,-19.262745098039215,-40.5934640522876,-18.7267973856209
1672.0,-40.16470588235294,-18.619607843137256,-41.0222222222222,-18.083660130719
1682.0,-41.129411764705885,-18.298039215686273,-41.6653594771242,-17.440522875817
1691.0,-41.450980392156865,-17.333333333333332,-42.2013071895425,-16.7973856209151
1701.0,-42.09411764705882,-18.298039215686273,-42.8444444444445,-16.2614379084967
1711.0,-42.73725490196078,-16.36862745098039,-43.3803921568627,-15.8326797385621
1721.0,-43.38039215686275,-15.725490196078432,-43.916339869281,-15.1895424836602
1731.0,-43.70196078431373,-15.08235294117647,-44.6666666666667,-14.5464052287582
1740.0,-44.666666666666664,-14.760784313725491,-45.2026143790849,-13.9032679738562
1760.0,-45.63137254901961,-13.474509803921567,-45.7385620915033,-13.5816993464053
1770.0,-46.27450980392157,-12.831372549019608,-46.2745098039216,-12.8313725490196
1780.0,-46.917647058823526,-12.188235294117646,-46.9176470588235,-12.2954248366013
1789.0,-47.56078431372549,-11.545098039215688,-47.5607843137255,-11.6522875816994
1799.0,-47.88235294117647,-10.901960784313726,-47.9895424836601,-11.0091503267974
1809.0,-48.84705882352941,-10.580392156862747,-48.5254901960784,-10.3660130718954
1820.0,-49.490196078431374,-9.937254901960785,-49.1686274509804,-9.9372549019608
1829.0,-49.811764705882354,-9.294117647058822,-49.8117647058824,-9.40130718954248
1839.0,-50.45490196078431,-8.650980392156864,-50.240522875817,-8.65098039215686
1849.0,-50.77647058823529,-8.329411764705881,-50.883660130719,-8.11503267973856
1857.0,-51.741176470588236,-7.686274509803923,-51.4196078431373,-7.57908496732026
1866.0,-52.062745098039215,-7.043137254901961,-52.0627450980392,-6.9359477124183
1876.0,-52.705882352941174,-6.399999999999999,-52.5986928104575,-6.29281045751634
1886.0,-53.34901960784314,-6.078431372549019,-53.1346405228758,-5.75686274509804
1895.0,-53.9921568627451,-5.113725490196078,-53.7777777777778,-5.22091503267974
1907.0,-54.635294117647064,-4.792156862745099,-54.5281045751634,-4.68496732026144
1916.0,-54.956862745098036,-4.149019607843137,-54.956862745098,-4.04183006535948
1926.0,-55.599999999999994,-3.5058823529411764,-55.6,-3.39869281045752
1936.0,-56.24313725490197,-2.862745098039216,-56.0287581699346,-2.86274509803922
1946.0,-56.56470588235294,-2.219607843137254,-56.6718954248366,-2.43398692810458
1955.0,-57.2078431372549,-1.8980392156862749,-57.2078431372549,-1.68366013071895
1966.0,-57.850980392156856,-1.2549019607843146,-57.7437908496732,-1.36209150326797
1975.0,-58.17254901960784,-1.2549019607843146,-57.7437908496732,-1.36209150326797
1985.0,-58.17254901960784,-1.2549019607843146,-57.7437908496732,-1.36209150326797
1994.0,-58.17254901960784,-1.2549019607843146,-57.7437908496732,-1.57647058823529
2004.0,-58.17254901960784,-1.2549019607843146,-56.8862745098039,-2.43398692810458
2014.0,-57.850980392156856,-2.862745098039216,-55.6,-3.82745098039216
2023.0,-56.886274509803926,-4.470588235294118,-54.2065359477124,-5.43529411764706
2033.0,-54.635294117647064,-5.75686274509804,-52.8130718954249,-6.61437908496732
2044.0,-52.705882352941174,-7.36470588235294,-51.7411764705882,-7.90065359477124
2054.0,-51.41960784313726,-8.329411764705881,-50.883660130719,-8.65098039215686
2064.0,-49.811764705882354,-9.615686274509805,-49.5973856209151,-9.61568627450981
2074.0,-49.168627450980395,-10.258823529411764,-48.6326797385621,-10.79477124183
2084.0,-47.88235294117647,-11.545098039215688,-47.8823529411765,-11.5450980392157
2093.0,-46.917647058823526,-12.50980392156863,-46.8104575163398,-12.6169934640523
2103.0,-46.27450980392157,-13.152941176470588,-45.8457516339869,-14.0104575163399
2112.0,-45.30980392156863,-14.117647058823529,-44.7738562091503,-14.7607843137255
2122.0,-44.345098039215685,-15.08235294117647,-43.916339869281,-15.4039215686275
2132.0,-43.38039215686275,-16.36862745098039,-42.9516339869281,-16.3686274509804
2142.0,-42.4156862745098,-17.011764705882353,-42.0941176470588,-17.440522875817
2151.0,-41.450980392156865,-17.976470588235294,-41.0222222222222,-19.0483660130719
2161.0,-40.48627450980392,-18.941176470588236,-40.0575163398693,-19.3699346405229
2171.0,-39.52156862745098,-19.905882352941177,-39.0928104575163,-20.3346405228758
2181.0,-38.55686274509804,-20.870588235294118,-38.1281045751634,-21.2993464052288
2191.0,-37.5921568627451,-21.83529411764706,-37.2705882352941,-22.2640522875817
2201.0,-36.627450980392155,-22.799999999999997,-36.1986928104575,-23.443137254902
2210.0,-35.66274509803922,-24.08627450980392,-35.3411764705882,-24.0862745098039
2219.0,-34.69803921568627,-24.72941176470588,-34.3764705882353,-25.0509803921569
2229.0,-33.733333333333334,-25.694117647058825,-33.4117647058824,-26.1228758169935
2238.0,-32.76862745098039,-26.658823529411762,-32.4470588235294,-27.0875816993464
2248.0,-31.80392156862745,-27.623529411764707,-31.5895424836602,-27.9450980392157
2259.0,-30.839215686274507,-28.588235294117645,-30.5176470588235,-29.0169934640523
2268.0,-29.87450980392157,-29.87450980392157,-29.5529411764706,-30.0888888888889
2278.0,-28.909803921568624,-30.839215686274507,-28.5882352941176,-31.0535947712418
2287.0,-27.945098039215686,-31.80392156862745,-27.6235294117647,-32.0183006535948
2297.0,-26.98039215686274,-32.76862745098039,-26.3372549019608,-32.9830065359477
2307.0,-26.015686274509804,-33.733333333333334,-25.5869281045752,-33.9477124183006
2317.0,-24.72941176470588,-34.69803921568627,-24.7294117647059,-34.80522875817
2326.0,-24.08627450980392,-35.66274509803922,-23.7647058823529,-35.7699346405229
2337.0,-23.121568627450984,-36.627450980392155,-22.9071895424837,-36.7346405228758
2346.0,-22.15686274509804,-37.5921568627451,-21.9424836601307,-37.6993464052288
2356.0,-21.192156862745097,-38.55686274509804,-20.9777777777778,-38.6640522875817
2366.0,-19.905882352941177,-39.52156862745098,-20.0130718954249,-39.521568627451
2376.0,-18.941176470588236,-40.48627450980392,-18.9411764705882,-40.4862745098039
2387.0,-17.976470588235294,-41.450980392156865,-18.083660130719,-42.0941176470588
2394.0,-16.690196078431374,-42.4156862745098,-17.2261437908497,-42.4156862745098
2403.0,-16.04705882352941,-43.38039215686275,-16.1542483660131,-43.1660130718954
2413.0,-15.40392156862745,-44.666666666666664,-15.1895424836602,-44.0235294117647
2423.0,-14.439215686274508,-45.30980392156863,-14.1176470588235,-45.202614379085
2434.0,-13.474509803921567,-46.27450980392157,-13.2601307189543,-46.2745098039216
2444.0,-12.50980392156863,-47.23921568627451,-12.4026143790849,-47.1320261437908
2454.0,-11.545098039215688,-48.20392156862745,-11.437908496732,-48.2039215686275
